species_index,ls_spi,v2t,tfall_cls,leaf_life,dkr_cls,snag_cls,bark_eqnum,snag_decayx,snag_fallx,snag_alldwn,biogrp,bio_group
1,15,22.5,15,4,4,2,1,1.1,0.9,110,4,4
2,8,29.9,15,1,3,2,1,1.1,0.9,110,1,1
3,3,28.1,15,5,3,2,1,1.1,0.9,110,2,2
4,4,21.8,15,7,4,2,1,0.9,1.1,90,3,3
5,6,26.2,15,5,4,2,1,0.9,1.1,90,3,3
6,7,19.3,20,5,2,2,1,0.9,1.1,90,1,1
7,11,23.7,15,3,4,2,1,0.9,1.1,90,4,4
8,18,20.6,10,6,4,2,1,0.9,1.1,90,5,5
9,1,19.3,15,7,4,2,1,0.9,1.1,90,3,3
10,13,23.7,10,4,4,2,1,1.0,1.0,100,4,4
11,24,26.2,15,4,4,2,1,1.0,1.0,100,3,3
