species_index,ls_spi,v2t,tfall_cls,leaf_life,dkr_cls,snag_cls,bark_eqnum,snag_decayx,snag_fallx,snag_alldwn,biogrp,bio_group
1,4,24.9,15,7,3,3,1,1.0,1.0,30,3,3
2,4,23.1,15,7,3,3,1,1.0,1.0,90,3,3
3,4,21.8,15,7,3,3,1,1.0,1.0,90,3,3
4,1,19.3,15,7,3,3,1,1.0,1.0,90,3,3
5,4,22.5,15,7,3,3,1,1.0,1.0,90,3,3
6,0,28.1,15,5,2,2,1,1.0,1.0,110,2,2
7,4,23.1,15,7,3,3,1,1.0,1.0,90,3,3
8,8,26.2,20,5,1,1,1,1.0,1.0,300,1,1
9,20,21.8,20,5,1,1,1,1.0,1.0,90,1,1
10,18,20.6,10,6,2,2,1,1.0,1.0,90,5,5
11,11,23.7,15,3,2,2,1,1.0,1.0,90,4,4
12,15,21.2,15,3,3,3,1,1.0,1.0,100,4,4
13,15,21.2,15,3,1,1,1,1.0,1.0,110,4,4
14,15,22.5,15,4,1,1,1,1.0,1.0,110,4,4
15,13,23.7,15,4,3,3,1,1.0,1.0,100,4,4
16,3,28.1,15,5,1,1,1,1.0,1.0,110,2,2
17,19,21.2,20,5,1,1,1,1.0,1.0,150,1,1
18,7,19.3,20,5,1,1,1,1.0,1.0,300,1,1
19,6,26.2,15,5,2,2,1,1.0,1.0,100,3,3
20,24,26.2,15,4,2,2,1,1.0,1.0,90,3,3
21,5,27.4,15,1,4,4,1,1.0,1.0,50,7,7
22,23,23.1,15,1,4,4,1,1.0,1.0,50,6,6
23,10,36.2,15,1,4,4,1,1.0,1.0,50,6,6
24,43,29.9,15,1,4,4,1,1.0,1.0,50,7,7
25,17,36.2,15,1,3,3,1,1.0,1.0,50,8,8
26,41,21.8,15,1,4,4,1,1.0,1.0,50,6,6
27,17,19.3,15,1,4,4,1,1.0,1.0,50,6,6
28,17,37.4,15,1,3,3,1,1.0,1.0,50,9,9
29,16,34.9,15,4,1,1,1,1.0,1.0,100,10,10
30,1,29.9,15,1,1,1,1,1.0,1.0,150,1,1
31,14,22.5,15,3,1,1,1,1.0,1.0,100,4,4
32,11,23.7,15,4,2,2,1,1.0,1.0,100,4,4
33,7,26.2,20,7,1,1,1,1.0,1.0,100,3,3
34,56,27.4,15,1,4,4,1,1.0,1.0,50,8,8
35,57,27.4,15,1,4,4,1,1.0,1.0,50,8,8
36,61,29.3,15,1,4,4,1,1.0,1.0,50,8,8
37,64,22.5,15,1,4,4,1,1.0,1.0,50,6,6
38,0,28.1,15,5,4,4,1,1.0,1.0,110,2,2
39,41,29.9,15,1,4,4,1,1.0,1.0,50,7,7
